iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","4,028,990.42","0.07","4,028,990.42","183,386.00","21.97","United States","NASDAQ","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","3,990,874.76","0.06","3,990,874.76","25,678.00","155.42","United States","NYSE","USD","1.00","USD","-"
"4062","IBIDEN LTD","Information Technology","Equity","3,950,035.90","0.06","3,950,035.90","76,500.00","51.63","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"GDDY","GODADDY INC CLASS A","Information Technology","Equity","3,939,002.32","0.06","3,939,002.32","49,256.00","79.97","United States","NYSE","USD","1.00","USD","-"
"SGE","THE SAGE GROUP PLC","Information Technology","Equity","3,731,769.21","0.06","3,731,769.21","346,135.00","10.78","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"GEN","GEN DIGITAL INC","Information Technology","Equity","3,684,157.54","0.06","3,684,157.54","200,881.00","18.34","United States","NASDAQ","USD","1.00","USD","-"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Information Technology","Equity","3,633,335.20","0.06","3,633,335.20","17,930.00","202.64","United States","NASDAQ","USD","1.00","USD","-"
"XRO","XERO LTD","Information Technology","Equity","3,108,292.56","0.05","3,108,292.56","61,948.00","50.18","Australia","Asx - All Markets","USD","1.45","AUD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","2,940,502.85","0.05","2,940,502.85","54,809.00","53.65","United States","NASDAQ","USD","1.00","USD","-"
"4684","OBIC LTD","Information Technology","Equity","2,893,509.63","0.05","2,893,509.63","118,300.00","24.46","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"EPAM","EPAM SYSTEMS INC","Information Technology","Equity","2,722,050.65","0.04","2,722,050.65","20,135.00","135.19","United States","NYSE","USD","1.00","USD","-"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","2,661,193.12","0.04","2,661,193.12","4,015,208,177.00","0.07","Korea (South)","-","USD","1,508.80","KRW","-"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","2,300,313.58","0.04","2,300,313.58","73,353,550.00","3.14","Taiwan","-","USD","31.89","TWD","-"
"WTC","WISETECH GLOBAL LTD","Information Technology","Equity","2,039,215.00","0.03","2,039,215.00","77,172.00","26.42","Australia","Asx - All Markets","USD","1.45","AUD","-"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","1,970,633.19","0.03","1,970,633.19","91,340.00","21.57","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"6645","OMRON CORP","Information Technology","Equity","1,947,836.02","0.03","1,947,836.02","69,800.00","27.91","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"NXT","NEXTDC LTD","Information Technology","Equity","1,843,141.29","0.03","1,843,141.29","233,888.00","7.88","Australia","Asx - All Markets","USD","1.45","AUD","-"
"7752","RICOH LTD","Information Technology","Equity","1,767,830.40","0.03","1,767,830.40","206,800.00","8.55","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"TEMN","TEMENOS AG","Information Technology","Equity","1,707,830.61","0.03","1,707,830.61","20,180.00","84.63","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","1,423,000.00","0.02","1,423,000.00","1,423,000.00","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","725,324.29","0.01","725,324.29","1,006,895.00","72.04","Canada","-","USD","1.39","CAD","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","459,155.94","0.01","459,155.94","398,556.00","115.20","European Union","-","USD","0.87","EUR","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","281,305.01","0.00","281,305.01","2,203,293.00","12.77","Hong Kong","-","USD","7.83","HKD","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","202,811.66","0.00","202,811.66","152,599.00","132.90","United Kingdom","-","USD","0.75","GBP","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","175,327.39","0.00","175,327.39","139,736.00","125.47","Switzerland","-","USD","0.80","CHF","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","164,096.08","0.00","164,096.08","238,217.00","68.89","Australia","-","USD","1.45","AUD","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","149,800.79","0.00","149,800.79","1,416,479.00","10.58","Sweden","-","USD","9.46","SEK","-"
"BRL","BRL CASH","Cash and/or Derivatives","Cash","483.49","0.00","483.49","2,530.00","19.11","Brazil","-","USD","5.23","BRL","-"
"JPY","JPY/USD","Cash and/or Derivatives","FX","-30.43","0.00","-30.43","600,381,429.00","1.00","United States","-","USD","160.15","USD","-"
"2299955D","CONSTELLATION SOFTWARE INC","Information Technology","Equity","0.04","0.00","0.04","5,997.00","0.00","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"IXTM6","EMINI TECHNOLOGY SELECT SECTOR JUN","Cash and/or Derivatives","Futures","0.00","0.00","11,623,920.00","44.00","2,641.80","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
