iShares MSCI Global Metals & Mining Producers ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Jan 31, 2012"
Shares Outstanding,"31,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IMD","IMDEX LTD","Materials","Equity","1,596,670.54","0.09","1,596,670.54","609,968.00","2.62","Australia","Asx - All Markets","USD","1.45","AUD","-"
"LIF","LABRADOR IRON ORE ROYALTY CORP","Materials","Equity","1,579,318.86","0.09","1,579,318.86","76,364.00","20.68","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"601600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","1,523,147.00","0.09","1,523,147.00","920,765.00","1.65","China","Shanghai Stock Exchange","USD","6.91","CNY","-"
"GOAU4","METALURGICA GERDAU PREF SA","Materials","Equity","1,510,474.88","0.09","1,510,474.88","972,129.00","1.55","Brazil","XBSP","USD","5.23","BRL","-"
"AMG","AMG CRITICAL MATERIALS NV","Materials","Equity","1,448,474.12","0.08","1,448,474.12","36,936.00","39.22","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"USA","AMERICAS GOLD AND SILVER","Materials","Equity","1,436,316.76","0.08","1,436,316.76","261,666.00","5.49","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"3858","JIAXIN INTERNATIONAL RESOURCES INV","Materials","Equity","1,434,533.48","0.08","1,434,533.48","105,600.00","13.58","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"DRR","DETERRA ROYALTIES LTD","Materials","Equity","1,433,572.73","0.08","1,433,572.73","522,892.00","2.74","Australia","Asx - All Markets","USD","1.45","AUD","-"
"600019","BAOSHAN IRON & STEEL LTD A","Materials","Equity","1,429,336.93","0.08","1,429,336.93","1,537,293.00","0.93","China","Shanghai Stock Exchange","USD","6.91","CNY","-"
"USAR","USA RARE EARTH INC CLASS A","Materials","Equity","1,405,286.28","0.08","1,405,286.28","91,134.00","15.42","United States","NASDAQ","USD","1.00","USD","-"
"SAR","SAR CASH(COMMITTED)","Cash and/or Derivatives","Cash","1,403,481.72","0.08","1,403,481.72","5,266,284.00","26.65","Saudi Arabia","-","USD","3.75","SAR","-"
"PRN","PERENTI LTD","Materials","Equity","1,328,847.38","0.08","1,328,847.38","1,009,990.00","1.32","Australia","Asx - All Markets","USD","1.45","AUD","-"
"FOM","FORAN MINING CORP","Materials","Equity","1,313,923.89","0.08","1,313,923.89","341,571.00","3.85","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"2006","TUNG HO STEEL ENTERPRISE CORP","Materials","Equity","1,297,093.00","0.08","1,297,093.00","586,700.00","2.21","Taiwan","Taiwan Stock Exchange","USD","31.89","TWD","-"
"VZLA","VIZSLA SILVER CORP","Materials","Equity","1,292,855.27","0.08","1,292,855.27","411,638.00","3.14","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"QAMC","QATAR ALUMINIUM MANUFACTURING","Materials","Equity","1,284,471.25","0.07","1,284,471.25","3,398,808.00","0.38","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"BRAP4","BRADESPAR PREF SA","Materials","Equity","1,275,546.89","0.07","1,275,546.89","301,317.00","4.23","Brazil","XBSP","USD","5.23","BRL","-"
"ABRA","ABRASILVER RESOURCE CORP","Materials","Equity","1,271,954.14","0.07","1,271,954.14","160,813.00","7.91","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"UAMY","UNITED STATES ANTIMONY CORP","Materials","Equity","1,236,716.25","0.07","1,236,716.25","141,339.00","8.75","United States","NYSE","USD","1.00","USD","-"
"103140","POONGSANORATION CORP","Materials","Equity","1,217,298.05","0.07","1,217,298.05","20,029.00","60.78","Korea (South)","Korea Exchange (Stock Market)","USD","1,508.80","KRW","-"
"IE","IVANHOE ELECTRIC INC","Materials","Equity","1,208,537.47","0.07","1,208,537.47","111,181.00","10.87","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"5451","YODOKO LTD","Materials","Equity","1,191,926.07","0.07","1,191,926.07","127,000.00","9.39","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"000657","CHINA TUNGSTEN AND HIGHTECH MATERI","Materials","Equity","1,186,033.70","0.07","1,186,033.70","168,700.00","7.03","China","Shenzhen Stock Exchange","USD","6.91","CNY","-"
"600010","INNER MONGOLIA BAOTOU STEEL UNION","Materials","Equity","1,179,423.99","0.07","1,179,423.99","3,198,621.00","0.37","China","Shanghai Stock Exchange","USD","6.91","CNY","-"
"SZG","SALZGITTER AG","Materials","Equity","1,162,308.48","0.07","1,162,308.48","28,711.00","40.48","Germany","Xetra","USD","0.87","EUR","-"
"RYZ","RYERSON HOLDING CORP","Materials","Equity","1,153,706.07","0.07","1,153,706.07","54,241.00","21.27","United States","NYSE","USD","1.00","USD","-"
"5703","NIPPON LIGHT METAL HOLDINGS LTD","Materials","Equity","1,112,964.38","0.06","1,112,964.38","65,240.00","17.06","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"ATYM","ATALAYA MINING COPPER SA","Materials","Equity","1,095,446.66","0.06","1,095,446.66","117,916.00","9.29","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"WS","WORTHINGTON STEEL INC","Materials","Equity","1,090,645.30","0.06","1,090,645.30","38,813.00","28.10","United States","NYSE","USD","1.00","USD","-"
"MDI","MAJOR DRILLING GROUP INTERNATIONAL","Materials","Equity","1,072,112.12","0.06","1,072,112.12","95,711.00","11.20","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
